"
Employer

","
Job Location
","
Rank or Title
",Specialty,"
Deadline

","
Date Posted
▽

",Application Status
"
Teachers College, Columbia University
","
USA
: New York
","
Asst/Assoc Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
05-Jan-2016
","
21-Sep-2015
","
open
"
"
Living Language
","
USA
","
Consultant 
","
Applied Linguistics;
Translation;
Language Acquisition;
American Sign Language; 
Hawaiian;
Vietnamese
","
31-May-2016 
(Open until filled)
","
21-Sep-2015
","
open
"
"
Middlebury College
","
USA
: Vermont
","
Assistant Professor 
","
General Linguistics;
Arabic, Standard
","
11-Mar-2016 
(Open until filled)
","
21-Sep-2015
","
open
"
"
East Tennessee State University
","
USA
: Tennessee
","
Lecturer 
","
Applied Linguistics;
Language Acquisition;
English
","
30-Oct-2015
","
18-Sep-2015
","
closed
"
"
Boston University School of Education
","
USA
: Massachusetts
","
Associate Professor 
","
Applied Linguistics;
Language Acquisition
","
15-Oct-2015 
(Open until filled)
","
17-Sep-2015
","
open
"
"
Boston University School of Education
","
USA
: Massachusetts
","
Assistant Professor 
Clinical Assistant Professor
","
Applied Linguistics;
Cognitive Science;
Language Acquisition;
English 
","
01-Nov-2015 
(Open until filled)
","
17-Sep-2015
","
open
"
"
Johns Hopkins University
","
USA
: Maryland
","
Rank Open 
","
Psycholinguistics
","
01-Nov-2015
","
17-Sep-2015
","
closed
"
"
The American University of Beirut
","
Lebanon
: Beirut
","
Assistant Professor 
","
Phonetics;
Phonology;
Language Acquisition
","
15-Nov-2015
","
17-Sep-2015
","
closed
"
"
New York University Arts and Science
","
USA
: New York
","
Assistant Professor 
","
Sociolinguistics;
Language Acquisition;
English
","
01-Jan-2016 
(Open until filled)
","
17-Sep-2015
","
open
"
"
OKpanda
","
USA
: New York
","
Head of Curriculum
","
Applied Linguistics;
Text/Corpus Linguistics;
Language Acquisition;
English 
","
16-Nov-2015 
(Open until filled)
","
16-Sep-2015
","
open
"
"
Universitaet Leipzig
","
Germany
: Leipzig
","
Professor 
W2
","
Computational Linguistics;
Linguistic Theories;
Morphology;
Phonology; 
Psycholinguistics;
Syntax
","
15-Nov-2015
","
16-Sep-2015
","
closed
"
"
Northern Arizona University
","
USA
: Arizona
","
Rank Open 
","
Applied Linguistics
","
(Open until filled)
","
15-Sep-2015
","
open
"
"
University of Potsdam
","
Germany
","
Assistant Professor 
Juniorprofessur
","
General Linguistics
","
01-Oct-2015
","
15-Sep-2015
","
closed
"
"
Paragon Testing Enterprises Inc.
","
Canada
: Vancouver
","
Post Doc 
Language Assessment
","
Applied Linguistics;
English
","
(Open until filled)
","
15-Sep-2015
","
open
"
"
Georgetown University
","
USA
: District of Columbia
","
Asst/Assoc Professor 
","
Applied Linguistics
","
31-Oct-2015 
(Open until filled)
","
15-Sep-2015
","
open
"
"
University of New Hampshire
","
USA
: New Hampshire
","
Assistant Professor 
","
General Linguistics
","
15-Nov-2015
","
15-Sep-2015
","
closed
"
"
University of Oklahoma - Norman
","
USA
: Oklahoma
","
Associate Professor 
","
Applied Linguistics;
Ling & Literature;
Portuguese
","
(Open until filled)
","
15-Sep-2015
","
open
"
"
Utrecht University
","
Netherlands
: Utrecht
","
Associate Professor 
Senior Lecturer / Associate Professor (UHD) in English Linguistics (1,0 FTE)
","
Language Acquisition;
English
","
01-Oct-2015
","
15-Sep-2015
","
closed
"
"
Lionbridge
","
----------------
","
Computational Linguists
","
Computational Linguistics;
Korean
","
31-Oct-2015
","
15-Sep-2015
","
closed
"
"
University of Queensland
","
Australia
: Brisbane
","
Post Doc 
","
Computational Linguistics;
General Linguistics;
Cognitive Science;
Language Acquisition 
","
27-Sep-2015
","
14-Sep-2015
","
closed
"
"
University of Queensland
","
Australia
: Brisbane
","
Programmer 
","
Computational Linguistics;
General Linguistics;
Cognitive Science;
Language Acquisition 
","
27-Sep-2015
","
14-Sep-2015
","
closed
"
"
Indiana University, School of Global and International Studies
","
USA
: Indiana
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Language Acquisition;
Japanese 
","
30-Oct-2015 
(Open until filled)
","
14-Sep-2015
","
open
"
"
Texas A&M University-Corpus Christi
","
USA
: Texas
","
Assistant Professor 
","
Applied Linguistics
","
12-Oct-2015 
(Open until filled)
","
14-Sep-2015
","
open
"
"
Lionbridge
","
France
: Paris
","
Knowledge Engineer
","
Computational Linguistics;
Pragmatics;
Semantics;
French 
","
07-Dec-2015
","
11-Sep-2015
","
closed
"
"
Lionbridge
","
Japan
: Tokyo
","
Knowledge Engineer
","
Computational Linguistics;
Pragmatics;
Semantics;
Japanese 
","
07-Dec-2015
","
11-Sep-2015
","
closed
"
"
University of Birmingham (UK)
","
United Kingdom
: West Midlands
","
Lecturer 
Permanent post, equivalent to Assistant Professor
","
Psycholinguistics;
Text/Corpus Linguistics;
Cognitive Science;
Language Acquisition 
","
06-Oct-2015
","
11-Sep-2015
","
closed
"
"
Heinrich Heine Universitaet Duesseldorf
","
Germany
: Duesseldorf
","
Post Doc 
","
Semantics;
Text/Corpus Linguistics;
Cognitive Science;
German 
","
15-Sep-2015
","
11-Sep-2015
","
closed
"
"
University of California, Santa Cruz
","
USA
: California
","
Asst/Assoc Professor 
","
Syntax
","
","
11-Sep-2015
","
"
"
Carleton University
","
Canada
: Ottawa
","
Assistant Professor 
","
Applied Linguistics;
Discourse Analysis
","
06-Nov-2015
","
09-Sep-2015
","
closed
"
"
University of Tuebingen
","
Germany
: Tuebingen
","
Researcher 
","
Computational Linguistics
","
15-Oct-2015 
(Open until filled)
","
09-Sep-2015
","
open
"
"
University of York
","
United Kingdom
: York
","
Researcher 
","
Phonetics;
Sociolinguistics;
Forensic Linguistics
","
07-Oct-2015
","
09-Sep-2015
","
closed
"
"
Lionbridge
","
Germany
: Aachen
","
Knowledge Engineer
","
Computational Linguistics;
Pragmatics;
Semantics;
German 
","
07-Dec-2015
","
09-Sep-2015
","
closed
"
"
United Arab Emirates University
","
United Arab Emirates
: Al Ain
","
Assistant Professor 
","
Phonetics;
Phonology
","
31-Jan-2016 
(Open until filled)
","
09-Sep-2015
","
open
"
"
University of Groningen
","
Netherlands
: Groningen
","
Assistant Professor 
","
General Linguistics;
Psycholinguistics;
Neurolinguistics
","
15-Oct-2015
","
09-Sep-2015
","
closed
"
"
Texas A&M University
","
USA
: Texas
","
Asst/Assoc Professor 
","
Applied Linguistics;
Language Acquisition;
Spanish
","
15-Nov-2015
","
09-Sep-2015
","
closed
"
"
Lingvist Inc.
","
Germany
: UK: London, Germany: Berlin, Estonia: Tallinn
","
Computational Linguist
","
Applied Linguistics;
Computational Linguistics;
Text/Corpus Linguistics;
Language Acquisition 
","
15-Oct-2015 
(Open until filled)
","
08-Sep-2015
","
open
"
"
University of Nottingham
","
United Kingdom
: Nottingham
","
Assistant Professor 
","
Discourse Analysis
","
24-Sep-2015
","
07-Sep-2015
","
closed
"
"
University of California, Santa Cruz
","
USA
: California
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
(Open until filled)
","
07-Sep-2015
","
open
"
"
McGill University
","
Canada
: Montreal, Quebec
","
Assistant Professor 
","
Semantics;
Syntax
","
06-Nov-2015
","
04-Sep-2015
","
closed
"
"
Brigham Young University
","
USA
: Utah
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Portuguese
","
12-Oct-2015
","
04-Sep-2015
","
closed
"
"
Mississippi State University
","
USA
: Mississippi
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
English
","
16-Nov-2015
","
04-Sep-2015
","
closed
"
"
University of Macau
","
Macau
: Taipa, Macau, China
","
Full Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
29-Feb-2016 
(Open until filled)
","
04-Sep-2015
","
open
"
"
University of Macau
","
Macau
: Taipa, Macau, China
","
Associate Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
29-Feb-2016 
(Open until filled)
","
04-Sep-2015
","
open
"
"
Center for Applied Linguistics
","
USA
: District of Columbia
","
Research Assistant
","
Applied Linguistics
","
30-Sep-2015
","
03-Sep-2015
","
closed
"
"
Center for Applied Linguistics
","
USA
: District of Columbia
","
Program Assistant
","
Applied Linguistics
","
30-Sep-2015
","
03-Sep-2015
","
closed
"
"
University of Nottingham
","
United Kingdom
: Nottingham
","
Assistant Professor 
","
Psycholinguistics;
Language Acquisition
","
24-Sep-2015
","
02-Sep-2015
","
closed
"
"
Rice University
","
USA
: Texas
","
Lecturer 
","
Phonetics;
Phonology
","
01-Nov-2015
","
01-Sep-2015
","
closed
"
"
University of Macau
","
Macau
: Taipa, Macau
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Portuguese
","
29-Feb-2016 
(Open until filled)
","
01-Sep-2015
","
open
"
"
Brown University
","
USA
: Rhode Island
","
Assistant Professor 
","
Phonetics;
Cognitive Science
","
01-Dec-2015
","
01-Sep-2015
","
closed
"
"
Adecco Ltd. (Japan)
","
Japan
: Tokyo
","
Analytic Linguistic Project Manager
","
Computational Linguistics;
Morphology;
Semantics;
Syntax; 
Lexicography;
Vietnamese
","
29-Feb-2016 
(Open until filled)
","
31-Aug-2015
","
open
"
"
Adecco Ltd. (Japan)
","
Japan
: Tokyo
","
Junior Linguist
","
Computational Linguistics;
General Linguistics;
Vietnamese
","
29-Feb-2016 
(Open until filled)
","
31-Aug-2015
","
open
"
"
University Of South Carolina
","
USA
: South Carolina
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
01-Nov-2015
","
31-Aug-2015
","
closed
"
"
Northwestern University
","
USA
: Illinois
","
Rank Open 
","
Computational Linguistics;
General Linguistics;
Philosophy of Language;
Psycholinguistics; 
Cognitive Science
","
01-Dec-2015
","
31-Aug-2015
","
closed
"
"
Boise State University
","
USA
: Idaho
","
Visiting Professor 
","
General Linguistics
","
18-Sep-2015 
(Open until filled)
","
28-Aug-2015
","
open
"
"
Boise State University
","
USA
: Idaho
","
Lecturer 
","
General Linguistics
","
18-Sep-2015 
(Open until filled)
","
28-Aug-2015
","
open
"
"
Yamaguchi University
","
Japan
: Yamaguchi-shi, Yamaguchi Prefecture
","
Rank Open 
","
General Linguistics;
Syntax;
English;
Japanese 
","
30-Sep-2015
","
28-Aug-2015
","
closed
"
"
University of South Carolina
","
USA
: South Carolina
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
01-Nov-2015
","
27-Aug-2015
","
closed
"
"
Nuance Communications
","
Germany
: Ulm, Baden Württemberg
","
Speech Scientist
","
Computational Linguistics;
German
","
30-Sep-2015
","
27-Aug-2015
","
closed
"
"
Wayne State University
","
USA
: Michigan
","
Asst/Assoc Professor 
","
Phonology
","
01-Nov-2015
","
25-Aug-2015
","
closed
"
"
University of Konstanz
","
Germany
: Konstanz
","
Full Professor 
","
General Linguistics;
English
","
28-Sep-2015
","
25-Aug-2015
","
closed
"
"
Seoul National University
","
Korea, South
: Seoul
","
Asst/Assoc Professor 
","
Applied Linguistics;
German
","
12-Sep-2015
","
25-Aug-2015
","
closed
"
"
National University of Singapore
","
Singapore
: Singapore
","
Lecturer 
","
Applied Linguistics;
English
","
24-Sep-2015
","
25-Aug-2015
","
closed
"
"
Google, Inc.
","
Viet Nam
: Hanoi
","
Junior Linguist
","
Computational Linguistics;
General Linguistics;
Vietnamese
","
23-Feb-2016 
(Open until filled)
","
24-Aug-2015
","
open
"
"
Google, Inc.
","
Viet Nam
: Hanoi
","
Manager 
Analytic Linguistic Project Manager
","
Computational Linguistics;
Morphology;
Semantics;
Syntax; 
Lexicography;
Vietnamese
","
23-Feb-2016 
(Open until filled)
","
24-Aug-2015
","
open
"
"
Appen
","
----------------
","
Consultant 
Linguist
","
Computational Linguistics;
General Linguistics;
French
","
29-Oct-2015 
(Open until filled)
","
24-Aug-2015
","
open
"
"
Amazon (Ivona)
","
Poland
: Pomorskie
","
TTS Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
French 
","
30-Sep-2015 
(Open until filled)
","
20-Aug-2015
","
open
"
"
Amazon (Ivona)
","
Poland
: Pomorskie
","
TTS Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
Japanese 
","
30-Sep-2015 
(Open until filled)
","
20-Aug-2015
","
open
"
"
Amazon (Ivona)
","
Poland
: Gdańsk
","
TTS Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
German 
","
30-Sep-2015 
(Open until filled)
","
20-Aug-2015
","
open
"
"
Amazon (Ivona)
","
Poland
: Gdańsk
","
TTS Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
English 
","
30-Sep-2015 
(Open until filled)
","
20-Aug-2015
","
open
"
"
University of Vienna
","
Austria
: Vienna
","
Programmer 
Technische/r Projektmitarbeiter/in
","
Computational Linguistics;
Text/Corpus Linguistics;
German
","
04-Oct-2015
","
19-Aug-2015
","
closed
"
"
University of Vienna, University of Salzburg, University of Graz
","
Austria
: Vienna, Salzburg, Graz
","
Post Doc 
","
Sociolinguistics;
German
","
04-Oct-2015
","
19-Aug-2015
","
closed
"
"
Max Planck Institute for the Science of Human History
","
Germany
: Jena
","
Researcher 
","
Historical Linguistics;
Morphology;
Lexicography;
Indo-European 
","
10-Sep-2015 
(Open until filled)
","
19-Aug-2015
","
open
"
"
Max Planck Institute for the Science of Human History
","
Germany
: Jena
","
Post Doc 
","
Historical Linguistics;
Morphology;
Lexicography;
Indo-European 
","
10-Sep-2015 
(Open until filled)
","
19-Aug-2015
","
open
"
"
The Fryske Akademy
","
Netherlands
: Ljouwert/Leeuwarden
","
Post Doc 
","
Sociolinguistics;
Text/Corpus Linguistics;
Frisian, Western
","
30-Aug-2015
","
18-Aug-2015
","
closed
"
"
IXL Learning
","
USA
: California
","
Curriculum Designer
","
Applied Linguistics;
Spanish
","
15-Jan-2016 
(Open until filled)
","
18-Aug-2015
","
open
"
"
Max Planck Institute for the Science of Human History
","
Germany
: Jena
","
Post Doc 
","
Phonetics;
Aymaran;
Quechuan;
Germanic 
","
30-Sep-2015 
(Open until filled)
","
17-Aug-2015
","
open
"
"
Max Planck Institute for the Science of Human History
","
Germany
: Jena
","
Researcher 
","
Phonetics;
Aymaran;
Quechuan;
Germanic 
","
30-Sep-2015 
(Open until filled)
","
17-Aug-2015
","
open
"
"
The University of Delaware
","
USA
: Delaware
","
Assistant Professor 
","
General Linguistics;
Neurolinguistics
","
18-Oct-2015 
(Open until filled)
","
17-Aug-2015
","
open
"
"
University of Aizu
","
Japan
: Aizu-Wakamatsu, Fukushima
","
Associate Professor 
","
Applied Linguistics;
English
","
30-Sep-2015
","
17-Aug-2015
","
closed
"
"
University of Aizu
","
Japan
: Aizu-Wakamatsu, Fukushima
","
Professor 
","
Applied Linguistics;
English
","
30-Sep-2015
","
17-Aug-2015
","
closed
"
"
H5
","
USA
: Florida
","
Researcher 
Document Search and Review Analyst
","
Text/Corpus Linguistics
","
14-Feb-2016 
(Open until filled)
","
17-Aug-2015
","
open
"
"
University of California, Davis
","
USA
: California
","
Assistant Professor 
","
Computational Linguistics
","
18-Oct-2015 
(Open until filled)
","
17-Aug-2015
","
open
"
"
Nuance Communications
","
----------------
","
Consultant 
Annotator
","
General Linguistics;
Text/Corpus Linguistics;
Korean
","
30-Sep-2015 
(Open until filled)
","
14-Aug-2015
","
open
"
"
Lionbridge
","
USA
","
Analytical Linguist
","
General Linguistics;
Arabic, Standard;
Hebrew;
Spanish 
","
07-Dec-2015
","
13-Aug-2015
","
closed
"
"
Dartmouth College
","
USA
: New Hampshire
","
Post Doc 
","
Computational Linguistics
","
15-Nov-2015
","
13-Aug-2015
","
closed
"
"
Intel
","
Spain
: Sevilla
","
Dialogue Development Linguist
","
Computational Linguistics
","
13-Feb-2016 
(Open until filled)
","
13-Aug-2015
","
open
"
"
University of California, Berkeley
","
USA
: California
","
Lecturer 
","
General Linguistics;
Spanish
","
30-Jun-2017
","
12-Aug-2015
","
open
"
"
Center for Applied Linguistics (CAL)
","
USA
: District of Columbia
","
Test Developer, Testing Specialist
","
Applied Linguistics;
English
","
08-Sep-2015
","
12-Aug-2015
","
closed
"
"
University of Mainz
","
Germany
: Mainz
","
Researcher 
","
General Linguistics;
Historical Linguistics;
Russian;
Baltic; 
Slavic
","
20-Sep-2015
","
12-Aug-2015
","
closed
"
"
Hong Kong Baptist University
","
Hong Kong
: Hong Kong
","
Professor 
","
General Linguistics
","
15-Sep-2015
","
11-Aug-2015
","
closed
"
"
Hong Kong Baptist University
","
Hong Kong
: Hong Kong
","
Associate Professor 
","
General Linguistics
","
15-Sep-2015
","
11-Aug-2015
","
closed
"
"
University of Virginia
","
USA
: Virginia
","
Assistant Professor 
","
General Linguistics;
Anthropological Linguistics
","
(Open until filled)
","
11-Aug-2015
","
open
"
"
Georgetown University Press
","
USA
: District of Columbia
","
Digital Editor, Languages
","
General Linguistics
","
30-Sep-2015 
(Open until filled)
","
11-Aug-2015
","
open
"
"
Universität Bern
","
Switzerland
: Berne
","
Post Doc 
","
Sociolinguistics;
Dialectology;
Spanish
","
01-Sep-2015
","
10-Aug-2015
","
closed
"
"
Rowan University
","
USA
: New Jersey
","
Assistant Professor 
","
Applied Linguistics;
Translation;
Spanish
","
01-Nov-2015
","
07-Aug-2015
","
closed
"
"
Lionbridge
","
USA
: California
","
Computational Linguist
","
Computational Linguistics;
Hebrew;
Indonesian;
Malay; 
Polish;
Vietnamese
","
07-Dec-2015
","
07-Aug-2015
","
closed
"
"
University of Kaiserslautern
","
Germany
: Kaiserslautern
","
Post Doc 
","
Psycholinguistics;
Language Acquisition
","
02-Sep-2015
","
06-Aug-2015
","
closed
"
"
Ethnic Technologies
","
USA
: New Jersey
","
Programmer 
Product Designer
","
Computational Linguistics;
General Linguistics;
Text/Corpus Linguistics;
Onomastics 
","
31-Dec-2015
","
06-Aug-2015
","
open
"
"
Ethnic Technologies
","
USA
: New Jersey
","
Researcher 
Product Designer
","
Computational Linguistics;
General Linguistics;
Text/Corpus Linguistics;
Onomastics 
","
31-Dec-2015
","
06-Aug-2015
","
open
"
"
University of Freiburg
","
Germany
: Freiburg
","
Fellowships
","
General Linguistics
","
30-Sep-2015
","
06-Aug-2015
","
closed
"
"
Saint Michael's College
","
USA
: Vermont
","
Instructor 
","
Applied Linguistics;
Language Acquisition;
English
","
01-Jan-2016 
(Open until filled)
","
05-Aug-2015
","
open
"
"
Center for Applied Linguistics
","
USA
: District of Columbia
","
Test Development Assistant
","
Applied Linguistics;
Computational Linguistics;
Language Acquisition
","
08-Sep-2015 
(Open until filled)
","
05-Aug-2015
","
open
"
"
WU Wirtschaftsuniversität Wien
","
Austria
: Wien
","
Assistant Professor 
","
General Linguistics;
German;
Polish;
Russian; 
Slavic
","
30-Sep-2015
","
05-Aug-2015
","
closed
"
"
Appen
","
USA
","
Linguist
","
Phonetics;
Phonology;
Text/Corpus Linguistics;
Hausa; 
Pashto
","
01-Sep-2015 
(Open until filled)
","
05-Aug-2015
","
open
"
"
Nuance Communications
","
----------------
","
Consultant 
","
Computational Linguistics;
Japanese
","
30-Sep-2015
","
03-Aug-2015
","
closed
"
"
Nuance Communications
","
----------------
","
NLU Korean Language Consultant
","
Computational Linguistics;
General Linguistics;
Korean
","
16-Sep-2015 
(Open until filled)
","
03-Aug-2015
","
open
"
"
Sophia University
","
Japan
: Tokyo
","
Rank Open 
","
Applied Linguistics;
English
","
01-Oct-2015
","
03-Aug-2015
","
closed
"
"
JTG, inc.
","
USA
: Maryland
","
Language Researcher
","
Applied Linguistics;
General Linguistics;
Lexicography;
Somali 
","
31-Jan-2016 
(Open until filled)
","
03-Aug-2015
","
open
"
"
Lionbridge
","
----------------
","
Computational Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
French; 
Indonesian;
Slovak
","
07-Dec-2015
","
31-Jul-2015
","
closed
"
"
StepStone NV/SA
","
Belgium
: Brussels
","
Senior Linguist
","
Computational Linguistics;
Text/Corpus Linguistics;
Dutch;
English; 
French
","
01-Oct-2015 
(Open until filled)
","
31-Jul-2015
","
open
"
"
University of Stuttgart
","
Germany
: Stuttgart
","
Post Doc 
Postdoctoral Associate / Substitute Professor
","
Computational Linguistics
","
15-Sep-2015 
(Open until filled)
","
31-Jul-2015
","
open
"
"
University of Oregon
","
USA
: Oregon
","
Instructor 
","
Applied Linguistics;
Korean
","
27-Aug-2015 
(Open until filled)
","
30-Jul-2015
","
open
"
"
Yale University
","
USA
: Connecticut
","
Academic Administrator
","
Applied Linguistics
","
31-Jan-2016 
(Open until filled)
","
30-Jul-2015
","
open
"
"
University of Cologne
","
Germany
: Cologne
","
Lecturer 
","
General Linguistics;
Sociolinguistics;
Text/Corpus Linguistics;
Romance 
","
14-Aug-2015
","
29-Jul-2015
","
closed
"
"
University of Cologne
","
Germany
: Cologne
","
Researcher 
","
General Linguistics;
Sociolinguistics;
Text/Corpus Linguistics;
Romance 
","
14-Aug-2015
","
29-Jul-2015
","
closed
"
"
University of Cologne
","
Germany
: Cologne
","
Post Doc 
","
General Linguistics;
Sociolinguistics;
Text/Corpus Linguistics;
Romance 
","
14-Aug-2015
","
29-Jul-2015
","
closed
"
"
University of Toronto Mississauga
","
Canada
: Mississauga, ON
","
Assistant Professor 
","
Phonetics;
Phonology
","
21-Oct-2015
","
28-Jul-2015
","
closed
"
"
LABEX ""Empirical Foundations of Linguistics""
","
France
: Paris
","
Post Doc 
","
Semantics;
Syntax
","
01-Oct-2015
","
24-Jul-2015
","
closed
"
"
Google, Inc.
","
USA
","
Junior Linguist
","
Computational Linguistics;
General Linguistics;
Arabic, Egyptian
","
24-Jan-2016 
(Open until filled)
","
24-Jul-2015
","
open
"
"
University of Texas at Arlington
","
USA
: Texas
","
Senior Lecturer 
","
General Linguistics
","
28-Aug-2015 
(Open until filled)
","
24-Jul-2015
","
open
"
"
Universität Frankfurt
","
Germany
: Frankfurt am Main
","
Post Doc 
","
General Linguistics;
English;
German;
Germanic 
","
21-Aug-2015
","
23-Jul-2015
","
closed
"
"
International Center for Language Studies
","
USA
","
Consultant 
Curriculum Developer
","
Applied Linguistics
","
29-Jul-2015
","
23-Jul-2015
","
closed
"
"
University of Graz
","
Austria
: Steiermark
","
Post Doc 
","
Applied Linguistics;
English;
German
","
19-Aug-2015
","
22-Jul-2015
","
closed
"
"
The Hong Kong Polytechnic University
","
Hong Kong
: Kowloon
","
Assistant Professor 
","
Applied Linguistics;
Computational Linguistics;
General Linguistics;
Sociolinguistics; 
Text/Corpus Linguistics;
English
","
31-Dec-2015 
(Open until filled)
","
21-Jul-2015
","
open
"
"
Artificial Solutions
","
Sweden
: Stockholm
","
Knowledge Engineer/Computational Linguist
","
Computational Linguistics;
General Linguistics;
Swedish
","
01-Oct-2015 
(Open until filled)
","
21-Jul-2015
","
open
"
"
Stellenbosch University
","
South Africa
: Western Cape
","
Full Professor 
","
General Linguistics;
Psycholinguistics
","
17-Aug-2015
","
20-Jul-2015
","
closed
"
"
Advanced Digital Sciences Center
","
Singapore
","
Post Doc 
","
Computational Linguistics;
Phonetics;
Phonology
","
15-Sep-2015 
(Open until filled)
","
20-Jul-2015
","
open
"
"
DFKI
","
Germany
: Berlin
","
Programmer 
","
Computational Linguistics;
Discourse Analysis;
Text/Corpus Linguistics;
Translation 
","
31-Jul-2015 
(Open until filled)
","
20-Jul-2015
","
open
"
"
DFKI
","
Germany
: Berlin
","
Researcher 
","
Computational Linguistics;
Discourse Analysis;
Text/Corpus Linguistics;
Translation 
","
31-Jul-2015 
(Open until filled)
","
20-Jul-2015
","
open
"
"
Appen
","
USA
","
Consultant 
Linguist
","
General Linguistics;
Russian;
Spanish
","
31-Aug-2015
","
20-Jul-2015
","
closed
"
"
Macquarie University
","
Australia
: New South Wales
","
Post Doc 
","
Psycholinguistics;
Cognitive Science;
Language Acquisition
","
02-Aug-2015
","
17-Jul-2015
","
closed
"
"
University of Toronto
","
Canada
: Toronto, Ontario
","
Assistant Professor 
","
General Linguistics;
French
","
12-Aug-2015
","
17-Jul-2015
","
closed
"
"
The Pennsylvania State University
","
USA
: Pennsylvania
","
Assistant Director
","
Phonetics;
Psycholinguistics;
Sociolinguistics;
Neurolinguistics; 
Language Acquisition
","
01-Oct-2015 
(Open until filled)
","
17-Jul-2015
","
open
"
"
JTG, inc
","
USA
","
Language Technologist
","
Computational Linguistics;
Text/Corpus Linguistics;
Translation;
Lexicography 
","
15-Dec-2015 
(Open until filled)
","
16-Jul-2015
","
open
"
"
Universität Bielefeld
","
Germany
: Bielefeld
","
Lecturer 
","
General Linguistics
","
24-Jul-2015
","
14-Jul-2015
","
closed
"
"
Appen
","
Australia
: Sydney, Chatswood
","
Linguist Project Specialist
","
Computational Linguistics;
General Linguistics
","
31-Dec-2015 
(Open until filled)
","
14-Jul-2015
","
open
"
"
California State University Channel Islands
","
USA
: California
","
Assistant Professor 
","
Applied Linguistics;
Translation;
Spanish
","
02-Sep-2015 
(Open until filled)
","
14-Jul-2015
","
open
"
"
Infogain Corporation
","
USA
","
Consultant 
","
Computational Linguistics
","
13-Jan-2016 
(Open until filled)
","
14-Jul-2015
","
open
"
"
Precyse
","
USA
","
Computational Linguist
","
Computational Linguistics
","
30-Sep-2015
","
14-Jul-2015
","
closed
"
"
Uppsala University
","
Sweden
: Uppsala
","
Post Doc 
","
General Linguistics;
Typology
","
14-Sep-2015
","
13-Jul-2015
","
closed
"
"
University of Munich
","
Germany
: Bavaria
","
Lecturer 
","
Applied Linguistics;
Phonetics;
Phonology;
Text/Corpus Linguistics; 
French;
German
","
30-Sep-2015
","
13-Jul-2015
","
closed
"
"
University of North Texas
","
USA
: Texas
","
Lecturer 
","
General Linguistics
","
10-Jan-2016 
(Open until filled)
","
13-Jul-2015
","
open
"
"
University of North Texas
","
USA
: Texas
","
Assistant Professor 
","
Computational Linguistics
","
10-Jan-2016 
(Open until filled)
","
13-Jul-2015
","
open
"
"
University of North Texas
","
USA
: Texas
","
Assistant Professor 
","
Language Acquisition
","
10-Jan-2016 
(Open until filled)
","
13-Jul-2015
","
open
"
"
University of Kansas
","
USA
: Kansas
","
Visiting Professor 
","
Syntax
","
24-Aug-2015 
(Open until filled)
","
10-Jul-2015
","
open
"
"
Lionbridge
","
----------------
","
Linguist/Computational Linguist
","
Computational Linguistics;
General Linguistics;
Japanese
","
28-Aug-2015
","
09-Jul-2015
","
closed
"
"
Amazon.com Inc.
","
USA
: Massachusetts
","
Researcher 
","
Computational Linguistics;
General Linguistics;
Text/Corpus Linguistics
","
31-Oct-2015 
(Open until filled)
","
09-Jul-2015
","
open
"
"
Amazon.com Inc.
","
USA
: Massachusetts
","
Manager 
","
Computational Linguistics;
General Linguistics;
Text/Corpus Linguistics
","
31-Oct-2015 
(Open until filled)
","
09-Jul-2015
","
open
"
"
Universität Kassel
","
Germany
: Kassel (Hesse)
","
Lecturer 
","
General Linguistics;
English;
German
","
12-Aug-2015
","
08-Jul-2015
","
closed
"
"
Leiden University
","
Netherlands
: Leiden
","
Asst/Assoc Professor 
","
General Linguistics;
Japanese
","
24-Aug-2015
","
08-Jul-2015
","
closed
"
"
Aarhus University
","
Denmark
: Aarhus
","
Assistant Professor 
","
General Linguistics;
Language Acquisition;
English
","
19-Aug-2015
","
08-Jul-2015
","
closed
"
"
Carnegie Mellon University, University of Pittsburgh
","
USA
: Pennsylvania
","
Post Doc 
","
Computational Linguistics;
Cognitive Science
","
02-Oct-2015 
(Open until filled)
","
07-Jul-2015
","
open
"
"
Lionbridge Inc.
","
Finland
: Pirkanmaa
","
Manager 
Project Managers, Natural Language Services
","
Computational Linguistics;
Text/Corpus Linguistics
","
18-Jul-2015 
(Open until filled)
","
07-Jul-2015
","
open
"
"
University of Neuchatel
","
Switzerland
: Neuchatel
","
Full Professor 
","
Psycholinguistics;
Language Acquisition;
French
","
31-Aug-2015
","
07-Jul-2015
","
closed
"
